service_id,exception_type,date
690,1,20240808
692,1,20240817
692,2,20240815
694,1,20240729
694,1,20240806
696,2,20240729
697,1,20240812
699,2,20240815
7,1,20240808
7,1,20240817
7,1,20240818
704,1,20240807
704,2,20240813
711,2,20240727
715,1,20240808
716,1,20240816
716,1,20240817
716,1,20240820
717,1,20240801
718,2,20240815
72,1,20240726
72,1,20240802
72,1,20240812
72,1,20240813
72,1,20240814
72,1,20240815
72,1,20240818
720,2,20240803
722,1,20240807
722,1,20240808
723,1,20240727
723,1,20240810
723,2,20240804
723,2,20240808
723,2,20240818
725,1,20240726
725,1,20240727
725,1,20240806
725,2,20240804
725,2,20240805
728,2,20240812
728,2,20240813
728,2,20240814
729,1,20240723
729,1,20240724
730,2,20240730
730,2,20240731
730,2,20240801
731,1,20240817
734,2,20240723
734,2,20240808
736,1,20240816
738,1,20240729
738,1,20240802
74,1,20240727
74,1,20240728
747,2,20240731
749,1,20240806
750,1,20240808
752,1,20240727
752,1,20240730
752,1,20240731
752,1,20240803
752,1,20240808
752,1,20240809
752,1,20240810
752,1,20240811
752,1,20240812
752,1,20240813
752,1,20240814
752,1,20240816
757,1,20240815
76,1,20240818
760,1,20240721
760,1,20240722
761,2,20240803
765,1,20240816
766,2,20240726
768,1,20240808
77,1,20240723
77,1,20240808
771,1,20240728
771,1,20240805
773,1,20240726
773,1,20240805
774,2,20240730
774,2,20240731
774,2,20240801
779,1,20240819
779,1,20240820
780,2,20240731
781,2,20240726
790,1,20240801
791,1,20240803
795,1,20240731
798,2,20240729
798,2,20240731
798,2,20240815
8,1,20240721
80,2,20240803
80,2,20240804
802,1,20240805
802,1,20240806
802,1,20240807
805,2,20240729
805,2,20240815
807,1,20240729
812,2,20240727
814,1,20240721
814,1,20240729
814,2,20240806
816,1,20240804
816,1,20240810
816,1,20240811
818,1,20240810
819,1,20240726
820,2,20240728
824,2,20240815
83,1,20240807
83,1,20240812
83,1,20240815
83,1,20240816
83,2,20240813
830,1,20240725
830,1,20240805
830,1,20240807
830,1,20240811
832,2,20240815
835,2,20240729
835,2,20240730
835,2,20240731
835,2,20240801
837,2,20240803
837,2,20240804
837,2,20240805
841,1,20240801
843,1,20240721
843,1,20240805
843,1,20240806
845,1,20240726
845,1,20240803
85,1,20240809
85,1,20240810
85,1,20240811
85,1,20240816
85,1,20240817
85,1,20240818
852,1,20240814
855,2,20240723
855,2,20240726
857,1,20240808
86,2,20240727
863,1,20240804
864,1,20240817
865,1,20240820
870,1,20240808
870,1,20240817
870,1,20240818
874,2,20240801
875,1,20240803
875,2,20240729
875,2,20240730
875,2,20240731
875,2,20240801
876,2,20240810
878,1,20240726
878,1,20240804
878,1,20240805
878,1,20240806
878,1,20240807
878,1,20240808
880,1,20240727
880,1,20240728
881,2,20240728
882,1,20240819
882,1,20240820
887,1,20240806
891,2,20240803
891,2,20240804
893,1,20240722
893,1,20240723
893,1,20240724
893,1,20240727
893,1,20240812
896,2,20240729
896,2,20240730
896,2,20240731
897,2,20240727
897,2,20240728
898,1,20240806
898,1,20240807
899,1,20240809
899,1,20240816
900,1,20240810
900,1,20240811
901,1,20240810
901,2,20240726
901,2,20240728
901,2,20240729
901,2,20240730
901,2,20240731
902,1,20240801
905,1,20240819
905,1,20240820
909,1,20240726
909,1,20240812
909,1,20240813
909,1,20240814
909,1,20240815
909,1,20240818
919,1,20240810
920,1,20240811
920,1,20240812
920,1,20240818
923,1,20240805
926,1,20240722
926,1,20240723
926,1,20240724
927,1,20240816
928,1,20240801
929,1,20240807
933,1,20240728
933,1,20240801
936,2,20240730
936,2,20240731
936,2,20240801
936,2,20240803
936,2,20240804
936,2,20240805
94,2,20240727
940,1,20240721
940,1,20240722
941,2,20240804
942,1,20240730
943,1,20240721
943,1,20240818
944,2,20240817
944,2,20240818
945,1,20240808
945,1,20240817
945,1,20240818
946,1,20240726
946,1,20240804
946,1,20240805
946,1,20240806
946,1,20240807
946,1,20240808
946,1,20240809
947,1,20240801
949,2,20240804
95,1,20240731
95,1,20240805
95,1,20240806
95,1,20240807
954,1,20240810
955,1,20240807
